	estimation error	validation error
tanh [18, 14]	 0.36%	 0.42%
tanh [18, 16]	 0.39%	 0.45%
tanh [18, 18]	 0.35%	 0.29%
tanh [20, 14]	 0.34%	 0.34%
tanh [20, 16]	 0.30%	 0.43%
tanh [20, 18]	 0.40%	 0.43%
tanh [22, 14]	 0.33%	 0.33%
tanh [22, 16]	 0.38%	 0.41%
tanh [22, 18]	 0.31%	 0.35%
relu [18, 14]	 0.42%	 0.46%
relu [18, 16]	 4.63%	 4.69%
relu [18, 18]	 0.36%	 0.36%
relu [20, 14]	 0.34%	 0.42%
relu [20, 16]	 8.87%	 9.13%
relu [20, 18]	 0.38%	 0.40%
relu [22, 14]	 8.49%	 8.50%
relu [22, 16]	 0.38%	 0.45%
relu [22, 18]	 8.19%	 8.09%
